Name,Order,Family
Canis,Carnivora,Canidae
Vulpes,Carnivora,Canidae
Chlamyphorus,Cingulata,Chlamyphoridae
Elephas,Proboscidea,Elephantidae
Mustela,Carnivora,Mustelidae
Galeopterus,Dermoptera,Cynocephalidae
Lemur,Primates,Lemuridae
Sus,Artiodactyla,Suidae
Canis,Carnivora,Canidae
Accipiter,Accipitriformes,Accipitridae
Oryx,Artiodactyla,Bovidae
Canis,Carnivora,Canidae
Bos,Artiodactyla,Bovidae
Elephas,Proboscidea,Elephantidae
Ovis,Artiodactyla,Bovidae
Setonix,Diprotodontia,Macropodidae
Vulpes,Carnivora,Canidae
Elephas,Proboscidea,Elephantidae
Hemicentetes,Afrosoricida,Tenrecidae
Hyaena,Carnivora,Hyaenidae
Dolichotis,Rodentia,Caviidae
Neovison,Carnivora,Mustelidae
Antilope,Artiodactyla,Bovidae
Elaphodus,Artiodactyla,Cervidae
Rhinopithecus,Primates,Cercopithecidae
Ceratotherium,Perissodactyla,Rhinocerotidae
Loxodonta,Proboscidea,Elephantidae
Pteropus,Chiroptera,Pteropodidae
Cervus,Artiodactyla,Cervidae
Cervus,Artiodactyla,Cervidae
Canis,Carnivora,Canidae
Macaca,Primates,Cercopithecidae
Macaca,Primates,Cercopithecidae
Trachypithecus,Primates,Cercopithecidae
Ateles,Primates,Atelidae
Urocyon,Carnivora,Canidae
Herpestes,Carnivora,Herpestidae
Macropus,Diprotodontia,Macropodidae
Macaca,Primates,Cercopithecidae
Vulpes,Carnivora,Canidae
Speothos,Carnivora,Canidae
Canis,Carnivora,Canidae
Vulpes,Carnivora,Canidae
Chlamyphorus,Cingulata,Chlamyphoridae
Elephas,Proboscidea,Elephantidae
Mustela,Carnivora,Mustelidae
Galeopterus,Dermoptera,Cynocephalidae
Lemur,Primates,Lemuridae
Sus,Artiodactyla,Suidae
Canis,Carnivora,Canidae
Tamiasciurus,Rodentia,Sciuridae
Oryx,Artiodactyla,Bovidae
Canis,Carnivora,Canidae
Bos,Artiodactyla,Bovidae
Elephas,Proboscidea,Elephantidae
Ovis,Artiodactyla,Bovidae
Setonix,Diprotodontia,Macropodidae
Vulpes,Carnivora,Canidae
Elephas,Proboscidea,Elephantidae
Hemicentetes,Afrosoricida,Tenrecidae
Hyaena,Carnivora,Hyaenidae
Dolichotis,Rodentia,Caviidae
Neovison,Carnivora,Mustelidae
Antilope,Artiodactyla,Bovidae
Elaphodus,Artiodactyla,Cervidae
Rhinopithecus,Primates,Cercopithecidae
Ceratotherium,Perissodactyla,Rhinocerotidae
Loxodonta,Proboscidea,Elephantidae
Pteropus,Chiroptera,Pteropodidae
Cervus,Artiodactyla,Cervidae
Cervus,Artiodactyla,Cervidae
Canis,Carnivora,Canidae
Macaca,Primates,Cercopithecidae
Macaca,Primates,Cercopithecidae
Trachypithecus,Primates,Cercopithecidae
Ateles,Primates,Atelidae
Urocyon,Carnivora,Canidae
Herpestes,Carnivora,Herpestidae
Macropus,Diprotodontia,Macropodidae
Macaca,Primates,Cercopithecidae
Vulpes,Carnivora,Canidae
Speothos,Carnivora,Canidae
Leopardus,Carnivora,Felidae
Sus,Artiodactyla,Suidae
Paraechinus,Eulipotyphla,Erinaceidae
Tamiasciurus,Rodentia,Sciuridae
Euchoreutes,Rodentia,Dipodidae
Saguinus,Primates,Callitrichidae
Nasalis,Primates,Cercopithecidae
Camelus,Artiodactyla,Camelidae
Leopardus,Carnivora,Felidae
Condylura,Eulipotyphla,Talpidae
Pteropus,Chiroptera,Pteropodidae
Didelphis,Didelphimorphia,Didelphidae
Lynx,Carnivora,Felidae
Sylvilagus,Lagomorpha,Leporidae
Pteromys,Rodentia,Sciuridae
Ailuropoda,Carnivora,Ursidae
Leopardus,Carnivora,Felidae
Neovison,Carnivora,Mustelidae
Saguinus,Primates,Callitrichidae
Crocuta,Carnivora,Hyaenidae
Leopardus,Carnivora,Felidae
Hemiechinus,Eulipotyphla,Erinaceidae
Phataginus,Pholidota,Manidae
Canis,Carnivora,Canidae
Sciurus,Rodentia,Sciuridae
Chlorocebus,Primates,Cercopithecidae
Ailurus,Carnivora,Ailuridae
Odocoileus,Artiodactyla,Cervidae
Mustela,Carnivora,Mustelidae
Ochotona,Lagomorpha,Ochotonidae
Panthera,Carnivora,Felidae
Lama,Artiodactyla,Camelidae
Puma,Carnivora,Felidae
Cuon,Carnivora,Canidae
Manis,Pholidota,Manidae
Lynx,Carnivora,Felidae
Acinonyx,Carnivora,Felidae
Giraffa,Artiodactyla,Giraffidae
Manis,Pholidota,Manidae
Rattus,Rodentia,Muridae
Smutsia,Pholidota,Manidae
Pudu,Artiodactyla,Cervidae
Leopardus,Carnivora,Felidae
Martes,Carnivora,Mustelidae
Ateles,Primates,Atelidae
Sciurus,Rodentia,Sciuridae
Orcaella,Artiodactyla,Delphinidae
"	Neotoma",Rodentia,Cricetidae
Cryptoprocta,Carnivora,Eupleridae
Neophocaena,Artiodactyla,Phocoenidae
Vicugna,Artiodactyla,Camelidae
Felis,Carnivora,Felidae
Bradypus,Pilosa,Bradypodidae
Moschus,Artiodactyla,Moschidae
Sciurus,Rodentia,Sciuridae
Bettongia,Diprotodontia,Potoroidae
Lama,Artiodactyla,Camelidae
Dama,Artiodactyla,Cervidae
Axis,Artiodactyla,Cervidae
Prionailurus,Carnivora,Felidae
Myotis,Chiroptera,Vespertilionidae
Tamias,Rodentia,Sciuridae
Macropus,Diprotodontia,Macropodidae
Panthera,Carnivora,Felidae
Elephas,Proboscidea,Elephantidae
Echinops,Afrosoricida,Tenrecidae
Elephas,Proboscidea,Elephantidae
Addax,Artiodactyla,Bovidae
Mazama,Artiodactyla,Cervidae
Myrmecobius,Dasyuromorphia,Myrmecobiidae
Marmota,Rodentia,Sciuridae
Felis,Carnivora,Felidae
Martes,Carnivora,Mustelidae
Rusa,Artiodactyla,Cervidae
Smutsia,Pholidota,Manidae
Tamias,Rodentia,Sciuridae
Equus,Perissodactyla,Equidae
Cebus,Primates,Cebidae
Herpestes,Carnivora,Herpestidae
Antidorcas,Artiodactyla,Bovidae
Sciurus,Rodentia,Sciuridae
Panthera,Carnivora,Felidae
Civettictis,Carnivora,Viverridae
Tapirus,Perissodactyla,Tapiridae
Phocoena,Artiodactyla,Phocoenidae
Martes,Carnivora,Mustelidae
Acerodon,Chiroptera,Pteropodidae
Xerospermophilus,Rodentia,Sciuridae
Bradypus,Pilosa,Bradypodidae
Ursus,Carnivora,Ursidae
Hyelaphus,Artiodactyla,Cervidae
Hydropotes,Artiodactyla,Cervidae
Hapalemur,Primates,Lemuridae
Lynx,Carnivora,Felidae
Felis,Carnivora,Felidae
Mellivora,Carnivora,Mustelidae
,Cingulata,Chlamyphoridae
Genetta,Carnivora,Viverridae
Gorilla,Primates,Hominidae
Lynx,Carnivora,Felidae
Wallabia,Diprotodontia,Macropodidae
Panthera,Carnivora,Felidae
Cephalorhynchus,Artiodactyla,Delphinidae
Lepus,Lagomorpha,Leporidae
Mustela,Carnivora,Mustelidae
Petaurus,Diprotodontia,Petauridae
Ateles,Primates,Atelidae
Cerdocyon,Carnivora,Canidae
Suricata,Carnivora,Herpestidae
Ursus,Carnivora,Ursidae
Rucervus,Artiodactyla,Cervidae
Litocranius,Artiodactyla,Bovidae
Bassaricyon,Carnivora,Procyonidae
Puma,Carnivora,Felidae
Sus,Artiodactyla,Suidae
Dasyurus,Dasyuromorphia,Dasyuridae
Ovis,Artiodactyla,Bovidae
Hyaena,Carnivora,Hyaenidae
Herpestes,Carnivora,Herpestidae
Nasua,Carnivora,Procyonidae
Peromyscus,Rodentia,Cricetidae
Bassaricyon,Carnivora,Procyonidae
Caracal,Carnivora,Felidae
Capra,Artiodactyla,Bovidae
Canis,Carnivora,Canidae
Atelerix,Eulipotyphla,Erinaceidae
Phoca,Carnivora,Phocidae
Sarcophilus,Dasyuromorphia,Dasyuridae
Vulpes,Carnivora,Canidae
Sylvicapra,Artiodactyla,Bovidae
Spermophilus,Rodentia,Sciuridae
Cynocephalus,Dermoptera,Cynocephalidae
Equus,Perissodactyla,Equidae
Ovis,Artiodactyla,Bovidae
Dugong,Sirenia,Dugongidae
Okapia,Artiodactyla,Giraffidae
Monodon,Artiodactyla,Monodontidae
Ovis,Artiodactyla,Bovidae
Mustela,Carnivora,Mustelidae
Lontra,Carnivora,Mustelidae
Perameles,Peramelemorphia,Peramelidae
Atelerix,Eulipotyphla,Erinaceidae
Dendrolagus,Diprotodontia,Macropodidae
Macropus,Diprotodontia,Macropodidae
Ictidomys,Rodentia,Sciuridae
Rousettus,Chiroptera,Pteropodidae
Panthera,Carnivora,Felidae
Cercopithecus,Primates,Cercopithecidae
Cervus,Artiodactyla,Cervidae
Arctictis,Carnivora,Viverridae
Taurotragus,Artiodactyla,Bovidae
Pongo,Primates,Hominidae
Vulpes,Carnivora,Canidae
Papio,Primates,Cercopithecidae
Hippotragus,Artiodactyla,Bovidae
Chrysocyon,Carnivora,Canidae
Macaca,Primates,Cercopithecidae
Ratufa,Rodentia,Sciuridae
Equus,Perissodactyla,Equidae
Leopardus,Carnivora,Felidae
Capreolus,Artiodactyla,Cervidae
Myodes,Rodentia,Cricetidae
Ursus,Carnivora,Ursidae
Taxidea,Carnivora,Mustelidae
Panthera,Carnivora,Felidae
Macropus,Diprotodontia,Macropodidae
Canis,Carnivora,Canidae
Crossarchus,Carnivora,Herpestidae
Equus,Perissodactyla,Equidae
Sciurus,Rodentia,Sciuridae
Pusa,Carnivora,Phocidae
Vicugna,Artiodactyla,Camelidae
Mus,Rodentia,Muridae
Equus,Perissodactyla,Equidae
Dasyurus,Dasyuromorphia,Dasyuridae
Papio,Primates,Cercopithecidae
Amblonyx,Carnivora,Mustelidae
Procyon,Carnivora,Procyonidae
Rhinopithecus,Primates,Cercopithecidae
Cynictis,Carnivora,Herpestidae
Eulemur,Primates,Lemuridae
Erinaceus,Eulipotyphla,Erinaceidae
Arctocephalus,Carnivora,Otariidae
Equus,Perissodactyla,Equidae
Aonyx,Carnivora,Mustelidae
Meles,Carnivora,Mustelidae
Pan,Primates,Hominidae
Lontra,Carnivora,Mustelidae
Daubentonia,Primates,Daubentoniidae
Lutrogale,Carnivora,Mustelidae
Canis,Carnivora,Canidae
Otocolobus,Carnivora,Felidae
Carlito,Primates,Tarsiidae
Phodopus,Rodentia,Cricetidae
Leontopithecus,Primates,Callitrichidae
Hylobates,Primates,Hylobatidae
Neofelis,Carnivora,Felidae
Eutamias,Rodentia,Sciuridae
Myocastor,Rodentia,Echimyidae
Pteropus,Chiroptera,Pteropodidae
Leopardus,Carnivora,Felidae
Mustela,Carnivora,Mustelidae
Tursiops,Artiodactyla,Delphinidae
Bos,Artiodactyla,Bovidae
Apodemus,Rodentia,Muridae
Lepus,Lagomorpha,Leporidae
Macropus,Diprotodontia,Macropodidae
Odocoileus,Artiodactyla,Cervidae
Caracal,Carnivora,Felidae
Choloepus,Pilosa,Megalonychidae
Hydrurga,Carnivora,Phocidae
Prionailurus,Carnivora,Felidae
Trichosurus,Diprotodontia,Phalangeridae
Lemmus,Rodentia,Cricetidae
Equus,Perissodactyla,Equidae
Mustela,Carnivora,Mustelidae
Ursus,Carnivora,Ursidae
Bos,Artiodactyla,Bovidae
Cercopithecus,Primates,Cercopithecidae
Camelus,Artiodactyla,Camelidae
Macropus,Diprotodontia,Macropodidae
Sminthopsis,Dasyuromorphia,Dasyuridae
Microtus,Rodentia,Cricetidae
Arctocephalus,Carnivora,Otariidae
Galago,Primates,Galagidae
Ateles,Primates,Atelidae
Catopuma,Carnivora,Felidae
Marmota,Rodentia,Sciuridae
Tarsipes,Diprotodontia,Tarsipedidae
Nanger,Artiodactyla,Bovidae
Procavia,Hyracoidea,Procaviidae
Lasiorhinus,Diprotodontia,Vombatidae
Tachyglossus,Monotremata,Tachyglossidae
Eidolon,Chiroptera,Pteropodidae
Ornithorhynchus,Monotremata,Ornithorhynchidae
Papio,Primates,Cercopithecidae
Balaenoptera,Artiodactyla,Balaenopteridae
Oreonax,Primates,Atelidae
Spilogale,Carnivora,Mephitidae
Otocyon,Carnivora,Canidae
Pseudocheirus,Diprotodontia,Pseudocheiridae
Gulo,Carnivora,Mustelidae
Canis,Carnivora,Canidae
Phodopus,Rodentia,Cricetidae
Symphalangus,Primates,Hylobatidae
Rangifer,Artiodactyla,Cervidae
Cuniculus,Rodentia,Cuniculidae
Nycticebus,Primates,Lorisidae
Muntiacus,Artiodactyla,Cervidae
Felis,Carnivora,Felidae
Mephitis,Carnivora,Mephitidae
Mandrillus,Primates,Cercopithecidae
Scalopus,Eulipotyphla,Talpidae
Callospermophilus,Rodentia,Sciuridae
Cheirogaleus,Primates,Cheirogaleidae
Lepilemur,Primates,Lepilemuridae
Gymnobelideus,Diprotodontia,Petauridae
Mungos,Carnivora,Herpestidae
Pongo,Primates,Hominidae
Choeropsis,Artiodactyla,Hippopotamidae
Rhinoceros,Perissodactyla,Rhinocerotidae
Enhydra,Carnivora,Mustelidae
Alouatta,Primates,Atelidae
Erethizon,Rodentia,Erethizontidae
Poliocitellus,Rodentia,Sciuridae
Coendou,Rodentia,Erethizontidae
Ammotragus,Artiodactyla,Bovidae
Lagenorhynchus,Artiodactyla,Delphinidae
Glaucomys,Rodentia,Sciuridae
Viverra,Carnivora,Viverridae
Prionailurus,Carnivora,Felidae
Sorex,Eulipotyphla,Soricidae
